기업명,상세명,기업형태,지역,업종,자본금,매출액,대표자,설립일
대기이엔지,주식회사대기이엔지,중소기업,경기도 평택시,시설물 유지관리 공사업,7억 500만원(2024.12.31),55억 2천만원(2024.12.31),김문기,2009.04.17(17년차)
케이엔디,케이엔디이㈜,중소기업,부산 강서구,"기타 기술 시험, 검사 및 분석업",14억 9천만원(2024.12.31),270억 1천만원(2024.12.31),서칠수,2005.01.04(21년차)
케이엔디,㈜케이엔엔디앤씨,중견기업,부산 해운대구,시설관리·보안·경비,7억원,70억,최한호,2016.10.09(10년차)
케이엔디,㈜케이엔디,중소기업,인천 서구,전기·전자·제어,50억원,80억,김현순,2000.05.01(26년차)
케이엔디,케이엔디,중소기업,서울 강남구,제약·보건·바이오,,,정형중,1990(36년차)
케이엔디,케이엔디㈜,중소기업,경남 거제시,"철물, 금속 파스너 및 수공구 도매업",3억원(2019.12.31),37억 4천만원(2019.12.31),박철규,2003.07.01(23년차)
케이엔디,㈜케이엔디,중소기업,서울 영등포구,그 외 기타 여신금융업,"3억 1,000만원(2019.12.31)",5억원(2019.12.31),김대현,2018.01.31(8년차)
케이엔디,케이엔디,중소기업,서울 중구,제품 디자인업,-,-,여성언,2011(15년차)
케이엔디,㈜케이엔디엘,중소기업,경기 남양주시,전자상거래 소매업,-,-,남경민,-
케이엔디,㈜케이문에프엔디,중소기업,서울 마포구,연예·엔터테인먼트,-,-,이재인,2014.12.24(12년차)
상지대학교산학협력단,상지대학교 산학협력단,비영리법인,강원 원주시,기타 사무지원 서비스업,-,138억 6천만원(2024.02.29),김상호,2004.01.01(22년차)
코리아푸드,이하이코리아푸드㈜,외국계(외국 투자기업),서울특별시 마포구,백화점·유통·도소매,"9억 9,000만원",2조5000억,CHEN LINLI,2019.11.29(7년차)
코리아푸드,㈜오리엔탈푸드코리아,중소기업,서울 영등포구,음식료·외식·프랜차이즈,,,박규성,2003.10.03(23년차)
코리아푸드,㈜코리아케이푸드,중소기업,서울 강남구,음ㆍ식료품 및 담배 중개업,,,지봉준,2006.11.01(20년차)
코리아푸드,푸드리퍼블릭코리아(유),중소기업,서울 마포구,상품 종합 도매업,"1,000만원(2024.12.31)",71억 3천만원(2024.12.31),전유빈,2014.04.03(12년차)
코리아푸드,타이슨푸드코리아 유한회사,중소기업,세종 전의면,육류 기타 가공 및 저장처리업 (가금류 제외),130억원(2024.09.30),"1,266억 7천만원(2024.09.30)",이철기,2020.01.01(6년차)
코리아푸드,㈜푸드코리아,중소기업,경기 평택시,식품가공,,,김형철,2000(26년차)
코리아푸드,㈜에코푸드코리아,중소기업,경기 하남시,기타 산업용 농산물 도매업,3억원(2023.12.31),174억 9천만원(2023.12.31),김춘성,2003.02.21(23년차)
코리아푸드,엔씨코리아푸드,중소기업,서울 종로구,경영 컨설팅업,,,,
코리아푸드,파라다이스푸드코리아,중소기업,충북 충주시,한식 일반 음식점업,,,,
코리아푸드,㈜코리아푸드,중소기업,경기 파주시,천연 및 혼합조제 조미료 제조업,,,,
바이오프리,㈜바이오프리,벤처기업,서울 동대문구,제약·보건·바이오,,,,
지디앤피,㈜흥지디앤피,중소기업,서울 종로구,부동산 중개 및 대리업,,,,
세기전기,세기소방전기,중소기업,경기 안양시,건축·설비·환경,,,,
세기전기,세기전기테크,중소기업,대구 북구,전지 및 케이블 도매업,,,,
세기전기,세기전기조명,중소기업,경기 남양주시,"전구, 램프 및 조명장치 도매업",,,,
송주건설,송주건설㈜,중소기업,강원 원주시,조경 건설업,,,,
다모아식품,농업회사법인다모아식품,중소기업,대전 동구,식품가공,,,,
하이트진로,하이트진로㈜,중견기업,서울 강남구,알코올음료 제조업,,,,
하이트진로,하이트진로음료㈜,중견기업,경기 용인시,생수 생산업,,,,
하이트진로,하이트진로㈜마산공장,대기업,경남 창원시,식품가공,,,,
하이트진로,하이트진로음료㈜ 청주공장,대기업 계열사·자회사,충북 청주시,식품가공,,,,
하이트진로,하이트진로㈜이천공장,중견기업,경기 이천시,식품가공,,,,
하이트진로,하이트진로㈜전주공장,중견기업,전북 완주군,식품가공,,,,
동원테크,㈜동원테크,중소기업,경남 김해시,자동차 차체용 신품 부품 제조업,19억 6천만원(2024.12.31),574억 6천만원(2024.12.31),류동엽,2000.01.13(26년차)
동원테크,동원테크,중소기업,인천 강화군,유리 및 창호 공사업,3억원(2020.12.31),29억 3천만원(2020.12.31),조현정,2013.05.15(13년차)
동원테크,동원테크㈜,중소기업,대구 북구,기계·기계설비,3억원,50억,박기태,2012.05.01(14년차)
동원테크,㈜동원테크,중소기업,경기 평택시,반도체·디스플레이·광학,-,-,김영민,2004.04.01(22년차)
동원테크,동원테크,중소기업,경기 광주시,목재·제지·가구,-,-,박동학,-
동원테크,동원테크,중소기업,부산 사상구,백화점·유통·도소매,"1억 5,000만원",30억,조주환,2000.07.01(26년차)
동원테크,동원테크,중소기업,경기 안산시,자동차·조선·철강·항공,-,-,김인호,-
동원테크,동원공조테크㈜,중소기업,서울 중구,배관 및 냉ㆍ난방 공사업,"2억 5,000만원(2022.12.31)",14억 4천만원(2022.12.31),송복헌,2005.01.12(21년차)
동원테크,동원테크㈜함안공장,중소기업,경남 함안군,자동차·조선·철강·항공,-,-,이석우,2007(19년차)
동원테크,동원테크,중소기업,서울 금천구,쇼핑몰·오픈마켓·소셜커머스,1억원,10억,윤현우,2006.01.02(20년차)
거제돔관광호텔,거제돔관광호텔,중소기업,경남 거제시,호텔업,43억 6천만원(2019.12.31),10억 1백만원(2019.12.31),정원욱/정재권/정창욱,2015.01.16(11년차)
신세계소방,㈜신세계소방,중소기업,전남 순천시,시설물 유지관리 공사업,"1억 1,300만원(2024.12.31)","7억 3,882만원(2024.12.31)",박윤식,2002.03.15(24년차)
백림종합건설,(주)백림종합건설,중소기업,서울 강북구,기타 공동 주택 건설업,"2억 3,000만원(2024.12.31)",89억 9천만원(2024.12.31),진희원,2012.03.16(14년차)
신도산업,신도산업㈜,중소기업,경기 파주시,화학·에너지·환경,10억원,495억,황동혁,1990.05.20(36년차)
신도산업,신도산업㈜,중소기업,대전 유성구,금속 절삭기계 제조업,,,,
신도산업,신도산업㈜,중소기업,충남 금산군,기타 토목시설물 건설업,,,,
신도산업,신도산업개발,중소기업,인천 부평구,기타 비주거용 건물 건설업,,,,
신도산업,정도산업㈜,중소기업,경기 파주시,구조용 금속 판제품 및 공작물 제조업,,,,
씨티트레이딩,씨티트레이딩,중소기업,서울 성동구,백화점·유통·도소매,,,,
위딘,㈜위딘미디어그룹,벤처기업,서울 구로구,광고·홍보·전시,,,,
위딘,위딘마일코리아,중소기업,서울 강남구,응용 소프트웨어 개발 및 공급업,,,,
동성지기,㈜동성지기,중소기업,부산 연제구,생활용품·소비재·기타,,,정두현,1966.04.16(60년차)
애드사운드,㈜애드사운드,중소기업,서울 금천구,기록매체 복제업,,,,
대건이엔엘,㈜대건이엔엘,중소기업,대전 대덕구,인테리어·자재,,,,
민텍,민언프린텍㈜,중소기업,경기 파주시,기타 인쇄업,,,,
민텍,민폴리텍(동업),중소기업,경기 화성시,합성수지 및 기타 플라스틱 물질 제조업,,,,
민텍,민아키텍츠건축사사무소,중소기업,부산 해운대구,건축·설비·환경,,,,
민텍,민텍스타일,중소기업,경기 하남시,섬유·의류·패션,,,,
인포링크,인포링크㈜,중소기업,경기 용인시,전기·전자·제어,1억원,46억,김성주,2007.09.03(19년차)
정원로지스,㈜정원로지스,중소기업,경남 양산시,기타 육상 운송지원 서비스업,"1,000만원(2017.12.31)",17억 2천만원(2017.12.31),김옥희,2014.01.01(12년차)
정원로지스,정원로지스,중소기업,광주 서구,일반 화물자동차 운송업,-,-,임종춘,-
에스지건설,㈜에스엠디자인건설,중소기업,경기 파주시,건설·시공·토목·조경,6억원,1200억,박성민,1995.11.01(31년차)
에스지건설,㈜에스와이건설산업,중소기업,서울 강남구,부동산·중개·임대,30억원,100억,이은주,2022.03.03(4년차)
에스지건설,에스지건설㈜,중견기업,강원 원주시,토목시설물 건설업,"4억 5,000만원",40억,유지봉,2009.08.15(17년차)
에스지건설,에스지건설㈜,중소기업,전남 목포시,토공사업,3억 300만원(2024.12.31),3억 477만원(2024.12.31),안윤선,2018.04.03(8년차)
에스지건설,에스지주택건설,중소기업,경기 용인시,단독 주택 건설업,-,-,유정열,2017.09.01(9년차)
에스지건설,에스지건설개발㈜,중소기업,경기 하남시,토공사업,2억원(2024.12.31),"3억 5,554만원(2024.12.31)",김관준,2008.12.18(18년차)
에스지건설,㈜에스지종합건설,중소기업,경기 김포시,비계 및 형틀 공사업,"3억 5,000만원(2020.12.31)",14억 8천만원(2020.12.31),강용쇠,2019.10.02(7년차)
에스지건설,㈜에스와이건설,중소기업,경기 화성시,단독 주택 건설업,5억원(2024.12.31),"1억 6,632만원(2024.12.31)",김영기,2019.05.30(7년차)
에스지건설,㈜에스와이건설,중소기업,서울 광진구,건설·시공·토목·조경,"7억 5,000만원",300억,박치홍,2007.06.26(19년차)
