기업명,상세명,기업형태,지역,업종,자본금,매출액,대표자,설립일
제이컬렉션,㈜제이컬렉션,중소기업,서울 강남구,백화점·유통·도소매,"1억 5,000만원(2020.12.31)",20억 8천만원(2020.12.31),박수철,2012.05.01(14년차)
제이컬렉션,제이케이컬렉션,중소기업,서울 중구,의복 액세서리 및 모조 장신구 도매업,-,-,곽범철,2014.11.10(12년차)
한국이지메디,한국이지메디,중소기업,대전 유성구,의약품 및 의료용품 소매업,"5,000만원(2024.12.31)",68억 6천만원(2024.12.31),이인규,2017.07.06(9년차)
엠즈씨드,엠즈씨드㈜,대기업 계열사·자회사,서울 강남구,음식료·외식·프랜차이즈,,,,
에스앤골프리조트,㈜에스앤골프리조트,중소기업,충남 보령시,스포츠·여가·레저,,,,
에스앤골프리조트,㈜에스지아름다운골프앤리조트,중소기업,충남 아산시,골프장 운영업,,,,
우진관광여행사,우진관광여행사,중소기업,충남 홍성군,여행사업,,,,
세우실업,세운실업,중소기업,서울 마포구,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",,,,
대용건설,대용건설㈜,중소기업,대전 유성구,콘크리트 및 철근 공사업,,,,
늘푸른영농조합법인,늘푸른양돈영농조합법인,중소기업,전남 나주시,하수 처리업,,,,
기원무역,㈜기원무역,중소기업,서울 광진구,섬유·의류·패션,,,,
현대테크,HD현대마린솔루션테크㈜,대기업,부산 해운대구,기타 엔지니어링 서비스업,,,,
현대테크,㈜현대테크,중소기업,인천 서구,전기·전자·제어,,,,
현대테크,㈜현대이미지테크,중소기업,경기 남양주시,컨설팅·연구·조사,,,,
현대테크,현대테크,중소기업,경북 경주시,물류·운송·배송,,,,
현대테크,㈜현대테크,중소기업,대구 달서구,그 외 기타 특수목적용 기계 제조업,,,,
현대테크,㈜현대테크안산지점,중소기업,경기 안산시,전기·전자·제어,,,,
현대테크,현대그린테크㈜,중소기업,서울 성동구,전기용 기계.장비 및 관련 기자재 도매업,,,,
현대테크,현대테크,중소기업,대전 중구,농업 및 임업용 기계 제조업,,,,
현대테크,㈜현대테크툴,중소기업,울산 북구,그 외 기타 기계 및 장비 도매업,,,,
광일상사,광일상사,중소기업,대구 북구,백화점·유통·도소매,,,,
에이치피씨랩,㈜에이치피씨랩,중소기업,대전 유성구,컴퓨터 제조업,,,,
지은정보통신,㈜지은정보통신,중소기업,경기 안양시,통신.방송장비 및 부품 도매업,2억원(2024.12.31),707억 3천만원(2024.12.31),서범석,1998.06.18(28년차)
관세법인스카이브릿지,관세법인 스카이브릿지,중소기업,서울특별시 금천구,통관 대리 및 관련서비스업,"4억 7,270만원(2023.12.31)",81억 2천만원(2023.12.31),김종문,2007.12.10(19년차)
관세법인스카이브릿지,관세법인 스카이브릿지,중소기업,부산 중구,무역·상사,-,-,김태원,2007.12.10(19년차)
그린신유통,그린유통㈜,중소기업,대전 유성구,그 외 기타 생활용품 도매업,20억원(2024.12.31),117억 1천만원(2024.12.31),박상덕,2005.03.01(21년차)
그린신유통,그린유통,중소기업,인천 부평구,백화점·유통·도소매,-,-,박정교,2002(24년차)
그린신유통,그린축산유통,중소기업,서울 성동구,백화점·유통·도소매,-,-,남상식,-
그린신유통,그린유통,중소기업,전북 전주시,그 외 기타 생활용품 도매업,"1,700만원(2022.12.31)",14억 2천만원(2022.12.31),김영남,2018.03.20(8년차)
그린신유통,㈜빛그린유통,중소기업,전남 순천시,기타 가공식품 도매업,3억원(2024.12.31),46억 1천만원(2024.12.31),김영재,2012.04.12(14년차)
그린신유통,샘그린유통,중소기업,서울 동대문구,"산업용 농.축산물, 섬유 원료 및 동물 중개업",1억원(2023.12.31),34억 6천만원(2023.12.31),설정숙,2019.05.01(7년차)
그린신유통,풀그린유통,중소기업,경북 칠곡군,슈퍼마켓,11억 2천만원(2023.12.31),37억 7천만원(2023.12.31),손인춘,2023.04.02(3년차)
그린신유통,유)그린종합유통,중소기업,광주 북구,"신선, 냉동 및 기타 수산물 도매업",1억원(2024.06.30),69억 5천만원(2024.06.30),백일선,2013.08.13(13년차)
그린신유통,대정그린유통㈜,중소기업,서울 송파구,과실류 도매업,-,-,김용화,2000.08.23(26년차)
그린신유통,㈜민목그린유통,중소기업,서울 송파구,"채소류, 서류 및 향신작물류 도매업","5,000만원(2018.12.31)",40억 5천만원(2018.12.31),이민구,2010.03.01(16년차)
일진제강,일진제강㈜,중견기업,서울 마포구,금속·재료·자재,-,3868억,심규승,1982.05.12(44년차)
일진제강,일진제강(주),중견기업,전북 임실군,강관 제조업,108억 8천만원(2024.12.31),"2,298억 8천만원(2024.12.31)",심규승,1982.06.01(44년차)
대운종합건설,대운종합건설㈜,중소기업,전남 해남군,지반조성 건설업,14억원(2024.12.31),40억 5천만원(2024.12.31),이승민/정광준,1996.08.23(30년차)
대운종합건설,㈜대운종합건설,중소기업,울산 울주군,기타 토목시설물 건설업,15억원(2014.12.31),22억 5백만원(2014.12.31),고진호,1995.07.15(31년차)
대운종합건설,대운종합건설㈜,중소기업,부산 사하구,토공사업,1억원(2020.12.31),"1억 7,153만원(2020.12.31)",김미정,2005.07.22(21년차)
대운종합건설,대운종합건설㈜,중소기업,경기 김포시,기타 비주거용 건물 건설업,5억원(2024.12.31),32억 3백만원(2024.12.31),김한준,2014.04.29(12년차)
제이케이인스퍼레이션,제이케이인스퍼레이션,벤처기업,서울 용산구,생활용품·소비재·기타,,,유지송,2014.08.20(12년차)
신성컨트롤,신성컨트롤㈜,중소기업,충남 천안시,금속·재료·자재,37억 5천만원,200억 6천,"조성환,조규현",2001(25년차)
신성컨트롤,신성컨트롤,중소기업,부산 강서구,기계·기계설비,4억원,39억,오상훈,1992.02.01(34년차)
케이와이에너지,㈜자연에너지명품주유소,중소기업,경기 부천시,운송장비용 주유소 운영업,1억원(2024.12.31),"1,649억 5천만원(2024.12.31)",김동성,2017.05.01(9년차)
효성산전,㈜효성산전,중소기업,경남 창원시,전기용 기계.장비 및 관련 기자재 도매업,3억원(2024.12.31),147억 8천만원(2024.12.31),진태옥,2011.10.11(15년차)
구스베,㈜구스베,중소기업,경기 남양주시,식품가공,,,조세환,2001.07.01(25년차)
구스베,㈜구스베이,중소기업,서울 마포구,전자상거래 소매업,1억원(2023.12.31),23억 6천만원(2023.12.31),강영구,2018.08.01(8년차)
자연과사람들,㈜자연과사람들,중견기업,전남 담양군,기타 비알코올 음료 제조업,44억원(2024.12.31),687억 9천만원(2024.12.31),정성수/정연호,2001.11.01(25년차)
자연과사람들,㈜자연과사람,중소기업,부산 사하구,그 외 기타 분류 안된 사업지원 서비스업,"1,000만원(2022.12.31)",10억 9천만원(2022.12.31),배경열,2018.10.12(8년차)
자연과사람들,㈜자연과사람,중소기업,강원 원주시,화학·에너지·환경,1억원,1만원,"오영환,천재룡",2006.07.01(20년차)
자연과사람들,자연과사람,중소기업,충북 증평군,"채소류, 서류 및 향신작물류 도매업","1,000만원(2024.12.31)",49억 4천만원(2024.12.31),유정현,2010.09.08(16년차)
자연과사람들,자연은사람을,중소기업,광주 서구,과실류 도매업,"2,000만원(2021.12.31)",24억 5천만원(2021.12.31),김창수,2014.03.01(12년차)
자연과사람들,자연과사람㈜,중소기업,경기 수원시,수중 공사업,2억 100만원,10억,노병화,2016.01.18(10년차)
자연과사람들,㈜자연과사람들,중소기업,서울 강동구,그 외 기타 상품 전문 도매업,"1,000만원(2019.12.31)",17억 7천만원(2019.12.31),팽지영,2016.07.04(10년차)
자연과사람들,사람과자연㈜,중소기업,서울특별시 성동구,그 외 기타 달리 분류되지 않은 제품 제조업,-,-,김명복,-
자연과사람들,사람과자연그룹,중소기업,경기 용인시,그 외 기타 분류 안된 섬유제품 제조업,-,-,이기원/이윤재,2014.03.18(12년차)
자연과사람들,주)자연과사람,중소기업,경기 수원시,부동산 중개 및 대리업,"2,000만원(2020.12.31)","3억 7,906만원(2020.12.31)",이도현,2012.07.18(14년차)
세인메덱스,㈜세인 메덱스,중소기업,경기 하남시,제약·보건·바이오,4억원,40억,최근욱,2000.01.01(26년차)
건우기술,㈜건우기술,중소기업,서울 구로구,건물 및 토목 엔지니어링 서비스업,"3억 5,000만원(2022.12.31)",17억 2천만원(2022.12.31),양영태,2009.07.13(17년차)
건우기술,㈜건우기술단,중소기업,강원 강릉시,건물 및 토목 엔지니어링 서비스업,3억원(2024.12.31),12억 5천만원(2024.12.31),윤형석,2014.09.01(12년차)
건우기술,㈜건우텍기술,중소기업,경기 화성시,기계·기계설비,-,-,김은옥,-
더부쓰,㈜더부쓰,중소기업,경기 김포시,경영 컨설팅업,10억 1천만원(2024.12.31),"3억 2,416만원(2024.12.31)",김희윤,2013.03.28(13년차)
더부쓰,더부쓰광교앨리웨이,중소기업,경기 수원시,음식료·외식·프랜차이즈,-,-,김희윤,2019.06.07(7년차)
케이티엘,㈜케이티,대기업,경기 성남시,무선 및 위성 통신업,"1조 5,644억원(2024.12.31)",18조 5천억원(2024.12.31),김영섭,1981.12.10(45년차)
케이티엘,㈜케이티아이에스,대기업 계열사·자회사,서울 영등포구,네트워크·통신서비스,147억원,6천3십억,이선주,2001.06.27(25년차)
케이티엘,㈜케이티씨에스,대기업,대전 서구,네트워크·통신서비스,238억원,4380억,박경원,2001(25년차)
케이티엘,케이티텔레캅㈜,대기업,서울 구로구,경비 및 경호 서비스업,596억 4천만원(2024.12.31),"5,316억 7천만원(2024.12.31)",장지호,2006.11.17(20년차)
케이티엘,(주)케이티앤지,대기업,대전 대덕구,담배 제조업,"9,549억 5천만원(2024.12.31)","3조 7,045억원(2024.12.31)",방경만,1987.04.01(39년차)
케이티엘,㈜케이티지니뮤직,대기업,서울 강남구,포털 및 기타 인터넷 정보매개 서비스업,290억 5천만원(2024.12.31),"2,293억 3천만원(2024.12.31)",서인욱,1991.02.07(35년차)
케이티엘,㈜KT DS,대기업 계열사·자회사,서울 서초구,컴퓨터시스템 통합 자문 및 구축 서비스업,132억원,7273억,이상국,2008.08.01(18년차)
케이티엘,㈜케이티나스미디어,대기업,서울 강남구,광고 대행업,,,,
케이티엘,㈜케이티알파,대기업,서울 동작구,포털·컨텐츠·커뮤니티,357억 1천만원,"2,789억",박승표,1991.12.12(35년차)
케이티엘,㈜케이티에스테이트,대기업,서울 강남구,비주거용 건물 개발 및 공급업,792억 4천만원(2024.12.31),"6,095억 6천만원(2024.12.31)",김승환,2010.08.02(16년차)
루아이앤씨,㈜루아이앤씨,중소기업,서울 강동구,건축·설비·환경,-,-,"조득선, 이동우",-
명인축산,명인축산㈜,중소기업,경기 안산시,육류 포장육 및 냉동육 가공업 (가금류 제외),-,-,정대성,-
제이앤아이,제이앤아이글로벌,중소기업,서울 강남구,광고·홍보·전시,,,김계환,2011.07.20(15년차)
제이앤아이,제이앤아이,중소기업,경기 화성시,합성수지 및 기타 플라스틱 물질 제조업,"2억 3,000만원(2024.12.31)","9억 3,693만원(2024.12.31)",이금철,2017.03.01(9년차)
제이앤아이,제이앤아이,중소기업,경기 안양시,백화점·유통·도소매,-,-,이규필,2013.12.27(13년차)
제이앤아이,㈜제이앤아이솔루션,중소기업,충남 아산시,그 외 자동차용 신품 부품 제조업,-,-,이종현,2020.06.26(6년차)
제이앤아이,㈜제이앤아이트레이딩,중소기업,서울 송파구,상품 종합 도매업,-,-,최정열,2020.08.06(6년차)
제이앤아이,제이앤아이워터,중소기업,충남 아산시,화학·에너지·환경,-,-,임재완,-
제이앤아이,제이앤아이(J&I),중소기업,경기 시흥시,기계·기계설비,-,-,김정수,-
제이앤아이,㈜제이앤아이투자,중소기업,서울 강남구,투자 자문업 및 투자 일임업,6억원(2023.12.31),"1억 1,488만원(2023.12.31)",이준섭,2021.03.10(5년차)
밀리언키,㈜밀리언키,중소기업,서울 강남구,비주거용 건물 개발 및 공급업,,,김지용,2010.07.23(16년차)
비에스월드,월드비에스건설㈜,중소기업,서울 금천구,기타 토목시설물 건설업,5억원,-,최병순,2016.07.06(10년차)
비에스월드,비에스월드,중소기업,서울특별시 종로구,합성섬유 제조업,-,-,임봉순,1996.03.30(30년차)
오씸코리아,㈜오씸코리아,중소기업,서울 영등포구,백화점·유통·도소매,-,-,최호근해리슨,2004.03.24(22년차)
동아전기,동아전기부품㈜,중소기업,경기 화성시,그 외 자동차용 신품 부품 제조업,5억원(2024.12.31),"1,340억 5천만원(2024.12.31)",이우용/이호일,1989.12.01(37년차)
동아전기,동아전기부품㈜,중소기업,경기 화성시,전기·전자·제어,-,800억,이우용,1989.12.01(37년차)
동아전기,동아전기㈜,중소기업,경기 김포시,변압기 제조업,10억 2천만원(2024.12.31),170억 4백만원(2024.12.31),신상균,1996.02.10(30년차)
동아전기,㈜동아중전기,중소기업,경남 창원시,내부 전기배선 공사업,"3억 1,000만원(2024.12.31)",35억 5백만원(2024.12.31),류한열,1996.11.08(30년차)
동아전기,동아전기조명㈜,중소기업,경기 화성시,전기용 기계.장비 및 관련 기자재 도매업,"5,000만원(2022.12.31)",28억 1백만원(2022.12.31),신대성,2015.10.16(11년차)
동아전기,동아전기공사,중소기업,경기 평택시,일반전기 공사업,"1억 8,000만원(2022.12.31)",23억 9천만원(2022.12.31),이정숙,2018.03.20(8년차)
동아전기,동아전기조명,중소기업,경기 양주시,전지 및 케이블 도매업,-,-,하지훈,2006.01.10(20년차)
시몬느액세서리컬렉션,㈜시몬느액세서리컬렉션,중견기업,경기 의왕시,핸드백 및 지갑 제조업,159억 1백만원(2024.12.31),"6,278억 4백만원(2024.12.31)",박은관,2015.06.01(11년차)
지보,㈜한국토지보상원,중소기업,경북 경산시,기타 사무지원 서비스업,"5,000만원(2022.12.31)",20억원,박준휘,2022.07.13(4년차)
지보,대한토지보상원,중소기업,대구 달서구,컨설팅·연구·조사,-,-,정재형,-
지보,지보단코리아㈜,외국계(외국 법인기타),서울시 서초구,무역·상사,-,-,강현구,1994.05.01(32년차)
춘천에너지,춘천에너지,중견기업,강원 춘천시,기타 발전업,"1,762억 5천만원(2024.12.31)","4,306억 1천만원(2024.12.31)",이수현,2013.12.03(13년차)
춘천에너지,중앙에너지산업중앙지점춘천중앙,중소기업,강원 춘천시,기체연료 및 관련제품 도매업,3억원(2024.12.31),160억 6천만원(2024.12.31),정재시,2003.12.31(23년차)
정원건설,㈜정원건설,중소기업,경기 고양시,건설·시공·토목·조경,"7억 1,000만원",53억5380만원,김혜영,2009(17년차)
정원건설,정원종합건설㈜,중소기업,서울 서초구,사무.상업용 및 공공기관용 건물 건설업,22억 5백만원(2023.12.31),60억 4천만원(2023.12.31),현정원,1992.09.24(34년차)
정원건설,㈜정원건설,중소기업,경기 수원시,시설물 유지관리 공사업,"4억 2,000만원(2014.12.31)","8억 7,053만원(2014.12.31)",김보경/김유희,1986.07.10(40년차)
정원건설,정원건설,중소기업,경기도 부천시,기타 건물 관련설비 설치 공사업,"5억 1,000만원(2023.12.31)",33억 8천만원(2023.12.31),유승대,2012.12.07(14년차)
정원건설,정원종합건설,중소기업,제주 제주시,건물 건설업,"5억 5,000만원(2024.12.31)",402억 2천만원(2024.12.31),김은희,2010.11.04(16년차)
정원건설,㈜정원산업건설,중소기업,인천 서구,건설·시공·토목·조경,-,13억7천,김수한,2020.01.29(6년차)
정원건설,㈜정원종합건설,중소기업,경기 시흥시,그 외 기타 건축 마무리 공사업,5억원(2024.12.31),28억 4천만원(2024.12.31),이승국,2019.03.22(7년차)
정원건설,㈜정원종합건설,중소기업,부산 수영구,건물 건설업,5억원(2022.12.31),30억 3천만원(2022.12.31),박재용,2010.12.20(16년차)
정원건설,㈜정원주택건설,중소기업,경기 고양시,기타 토목시설물 건설업,-,-,송정섭,-
코레이트자산운용,코레이트자산운용㈜,중소기업,서울 강남구,신탁업 및 집합투자업,359억 2천만원(2024.12.31),104억 8천만원(2024.12.31),송태종,1988.04.25(38년차)
셀로스바이오텍,셀로스바이오텍,중소기업,서울 서대문구,완제 의약품 제조업,-,-,배윤수,2018.10.18(8년차)
세일산업개발,세일산업개발㈜,중소기업,서울 마포구,건설·시공·토목·조경,15억 5백만원,196억2천만,윤동욱,2000.12.28(26년차)
에코조인,㈜에코조인,중소기업,경기 안성시,기타 1차 비철금속 제조업,17억 3천만원(2022.12.31),68억 8천만원(2022.12.31),고명완,2001.09.25(25년차)
천하제일,농업회사법인㈜천하제일한우,중소기업,경북 고령군,가금류 가공 및 저장 처리업,"3억 8,200만원(2024.12.31)",274억 1천만원(2024.12.31),김현수/우은영,2019.05.25(7년차)
천하제일,천하제일,개인,대구 수성구,그 외 기타 분류 안된 개인 서비스업,-,-,이지영,-
천하제일,천하제일루체 1302,중소기업,서울 강남구,솔루션·SI·CRM·ERP,-,-,고은희,2021.04.06(5년차)
무주덕유산리조트,무주덕유산리조트,중소기업,전북 무주군,스포츠·여가·레저,-,-,이종혁,1990.12.01(36년차)
금아금속,㈜금아금속,중소기업,경남 창원시,그 외 기타 전자부품 제조업,"2억 5,000만원(2024.12.31)",627억 6천만원(2024.12.31),서경희,1998.04.15(28년차)
금아금속,금아금속,중소기업,울산 중구,금속·재료·자재,-,-,배정열,1992.05.16(34년차)
안셀코리아,안셀코리아㈜,중소기업,전북 장수군,섬유·의류·패션,15억 9천만원(2020.06.30),20억 7천만원(2020.06.30),키샤구오,1998.08.20(28년차)
화성엔지니어링,㈜화성엔지니어링,중소기업,부산 금정구,측량업,8억원(2020.12.31),34억 7천만원(2020.12.31),백종숙/서진호,2002.09.06(24년차)
화성엔지니어링,화성엔지니어링,중소기업,경기 시흥시,기계·기계설비,-,-,류시훈,-
화성엔지니어링,화성엔지니어링,중소기업,경기 김포시,자동차용 신품 조향장치 및 현가 장치 제조업,-,-,조규현,1995.04.01(31년차)
씨앤에스국제물류센터,LG CNS,대기업,서울 영등포구,컴퓨터시스템 통합 자문 및 구축 서비스업,471억 9천만원(2024.12.31),"5조 4,075억원(2024.12.31)",현신균,1987.01.14(39년차)
씨앤에스국제물류센터,(주)에스씨케이컴퍼니,대기업 계열사·자회사,서울 중구,음식료·외식·프랜차이즈,200억원(2024.12.31),1조 40억원,이석구,1999.07.27(27년차)
씨앤에스국제물류센터,㈜아이패밀리SC,중소기업,서울 송파구,생활화학·화장품,43억원4십만원,1486억,"김태욱,김성현",2000.02.29(26년차)
씨앤에스국제물류센터,㈜씨에스원파트너,대기업 계열사·자회사,서울 금천구,네트워크·통신서비스,2억원(2024.12.31),994억 6천만원(2024.12.31),이금자,2008.09.01(18년차)
씨앤에스국제물류센터,㈜씨에스리더,대기업,서울 강남구,콜센터 및 텔레마케팅 서비스업,,,,
씨앤에스국제물류센터,대성씨앤에스,중견기업,서울특별시 금천구,"치약, 비누 및 기타 세제 제조업",75억원(2024.12.31),314억 2천만원(2024.12.31),강성윤/김영대,1989.09.27(37년차)
씨앤에스국제물류센터,서진씨엔에스(주),벤처기업,충북 청주시,솔루션·SI·CRM·ERP,-,-,김재영,2000(26년차)
씨앤에스국제물류센터,한국씨엔에스㈜,중소기업,경기 용인시,기계·기계설비,-,200억,김태영,1998.09.30(28년차)
씨앤에스국제물류센터,씨에스케이㈜  (CSK Inc. ),외국계(외국 법인기타),경기 용인시,반도체·디스플레이·광학,12억 7천만원,2000억,YUN JASON JAEHONG(윤재홍),1997.07.01(29년차)
씨앤에스국제물류센터,에스씨케이㈜,중소기업,서울 성동구,상용 인력 공급 및 인사관리 서비스업,5억원(2024.12.31),595억 2백만원(2024.12.31),이남수,2004.04.01(22년차)
엠씨네,㈜엠씨넥스,중견기업,인천 연수구,비디오 및 기타 영상기기 제조업,89억 8천만원(2024.12.31),"7,797억 7천만원(2024.12.31)",민동욱,2004.12.22(22년차)
엠씨네,㈜더에스엠씨홀딩스,중소기업,서울 강남구,광고·홍보·전시,,,,
엠씨네,㈜포스코엠씨머티리얼즈,대기업,전남 광양시,코크스 및 관련제품 제조업,"1,928억원(2024.12.31)","2,263억 7천만원(2024.12.31)",서영현,2012.11.05(14년차)
엠씨네,엘브이엠씨홀딩스 연락사무소,중견기업,서울 서초구,자동차·조선·철강·항공,-,6천 억,오경화,1997(29년차)
엠씨네,제이티엠씨엠건축사사무소,중소기업,서울 강남구,건축설계 및 관련 서비스업,-,-,김진윤,2020.03.06(6년차)
엠씨네,엠이엠씨코리아㈜,외국계(외국 투자기업),충남 천안시,반도체·디스플레이·광학,"1,260억원",3531억,조찬래,1990.12.18(36년차)
엠씨네,㈜삼육오엠씨,중소기업,서울 서초구,제약·보건·바이오,20억원(2024.12.31),180억 6천만원(2024.12.31),김남철,2006(20년차)
엠씨네,㈜큐엠씨,벤처기업,경기도 안양시,반도체·디스플레이·광학,"5억 9,023만원",150억,유병소,2003.07.01(23년차)
엠씨네,에이치엘엠씨,중소기업,서울 중구,화장품 및 화장용품 도매업,30억원(2024.12.31),318억 4천만원(2024.12.31),신상철,2008.07.01(18년차)
엠씨네,㈜프리엠씨,중소기업,서울 마포구,백화점·유통·도소매,1억원,60억,전용,2012.05.07(14년차)
라훔나노테크,㈜라훔나노테크,벤처기업,경북 경산시,전기·전자·제어,"3억 9,138만원",,이명훈,2018.07.02(8년차)
아이쿼드,㈜아이쿼드,중소기업,경기 하남시,컴퓨터·하드웨어·장비,,,김영태,2001.08.01(25년차)
도시공영,도시공영디앤씨,중소기업,경기 화성시,부동산 중개 및 대리업,"5,000만원(2017.12.31)",17억 9천만원(2017.12.31),윤윤주,2003.05.01(23년차)
종합건축사사무소예시건,㈜종합건축사사무소 예시건,중소기업,서울 강남구,건물 및 토목 엔지니어링 서비스업,3억원(2024.12.31),42억 1천만원(2024.12.31),허경원,2003.05.17(23년차)
디에스이테크,디에스이테크㈜,중소기업,경기 용인시,반도체 제조용 기계 제조업,2억원(2024.12.31),160억 9천만원(2024.12.31),심광현,2015.03.01(11년차)
신송식품,신송식품㈜,중소기업,서울 영등포구,장류 제조업,40억원(2024.12.31),664억 1천만원(2024.12.31),신유식/조승우/조승현,2009.08.01(17년차)
신송식품,신송식품㈜ 천안공장,중소기업,충남 천안시,식품가공,-,-,"신유식,조승현",-
한국재난연구원,(재)한국재난연구원,중소기업,서울 금천구,건설·시공·토목·조경,5억원,-,윤영조,1995.12.22(31년차)
현디자인,㈜현디자인,중소기업,서울 송파구,조경 건설업,5억 500만원(2024.12.31),174억 7천만원(2024.12.31),양경복,1998.10.01(28년차)
현디자인,㈜현앤디자인,중소기업,서울 강북구,건축·설비·환경,2억원(2023.12.31),100억,김철웅,2005(21년차)
현디자인,㈜디자인현,중소기업,서울 마포구,디자인·CAD,2억원,30억,강석찬,2013.10.01(13년차)
현디자인,현디자인,중소기업,부산 해운대구,출판·인쇄·사진,-,-,박현진,-
현디자인,디자인현,중소기업,광주 동구,"패션, 섬유류 및 기타 전문 디자인업","5,000만원(2022.12.31)","5억 5,669만원(2022.12.31)",강동현,2018.10.25(8년차)
현디자인,㈜현디자인,중소기업,경기 고양시,인테리어·자재,-,-,김재영,-
현디자인,현디자인,중소기업,경남 창원시,건설·시공·토목·조경,-,-,안은성,-
현디자인,㈜현디자인건설,중소기업,경기 안양시,그 외 기타 건축 마무리 공사업,"5억 2,500만원(2024.12.31)",12억 7천만원(2024.12.31),류현수/박정옥,2010.03.01(16년차)
현디자인,㈜현스 디자인,중소기업,서울 송파구,"도배, 실내장식 및 내장 목공사업",-,-,백현종,2022.06.22(4년차)
현디자인,㈜현1211디자인,중소기업,서울 강동구,"도배, 실내장식 및 내장 목공사업","1,000만원",19억5천만,장인규,2012.09.11(14년차)
블루윙스,㈜블루윙스,중소기업,경기 하남시,응용 소프트웨어 개발 및 공급업,,,,
스몰머신즈,㈜스몰머신즈,벤처기업,서울 송파구,제약·보건·바이오,,,,
우림이앤씨,주식회사우림이앤씨,중소기업,부산 강서구,내부 통신배선 공사업,,,,
재영이앤지,재영이앤지,중소기업,서울 양천구,도장 공사업,,,,
재영이앤지,영앤진세무법인 강서지점,중소기업,서울 강서구,회계·세무·법무,,,,
재영이앤지,영앤진세무법인 청담지점,중소기업,서울 강남구,회계·세무·법무,-,-,고기찬,-
홈텍코리아,㈜홈텍코리아,중소기업,경기 안산시,"미장, 타일 및 방수 공사업",,,,
홈텍코리아,홈텍코리아,중소기업,경기 파주시,주방용 전기기기 제조업,,,,
용화전기통신,(주)용화전기통신,중소기업,경기 안양시,일반전기 공사업,,,,
글로위드,㈜글로위드,중소기업,경기 하남시,전기경보 및 신호장치 제조업,,,,
약봉영농조합법인,약봉영농조합법인,중소기업,경기 하남시,곡물 및 기타 식량작물 재배업,,,,
중앙이피씨,중앙피엔피,중소기업,인천 남동구,도금업,,,,
중앙이피씨,㈜중앙피앤씨,중소기업,서울 중구,기타 인쇄물 출판업,,,,
중앙이피씨,중앙피앤에이,중소기업,경기 안산시,그 외 기타 플라스틱 제품 제조업,,,,
도개정미소영농조합법인,도개정미소영농조합법인,중소기업,경북 구미시,식품가공,,,,
미래이엔지,㈜미래이엔지,중소기업,대구 달성군,자동차·조선·철강·항공,,,,
미래이엔지,㈜미래이엔지,중소기업,경기 시흥시,배전반 및 전기 자동제어반 제조업,,,,
미래이엔지,미래이엔지,중소기업,세종 조치원읍,전기용 기계.장비 및 관련 기자재 도매업,,,,
미래이엔지,㈜미래이엔지,중소기업,인천 미추홀구,생활용품·소비재·기타,,,,
미래이엔지,미래이엔지,중소기업,경북 구미시,건설·시공·토목·조경,-,-,박상민,2023.03.15(3년차)
미래이엔지,미래이엔지산업,중소기업,경기 평택시,배관 및 냉ㆍ난방 공사업,"1,000만원(2021.12.31)","3억 5,141만원(2021.12.31)",차인영,2020.09.22(6년차)
미래이엔지,미래ENG,중소기업,서울 강서구,그 외 기타 개인 및 가정용품 수리업,915만원(2020.12.31),"7억 1,261만원(2020.12.31)",이정선,2014.07.01(12년차)
미래이엔지,미래ENG,중소기업,울산 동구,정비·A/S·카센터,-,-,강재식,-
동일테크,동일테크,중소기업,경기 안양시,기계·기계설비,10억원,20억,노준석,2010.05.01(16년차)
동일테크,㈜동일테크롤,중소기업,서울 동대문구,플라스틱 접착처리 제품 제조업,-,-,최동기,1990.03.04(36년차)
동일테크,㈜동일테크,중소기업,경기 김포시,자전거 및 환자용 차량 제조업,"4억 5,000만원(2023.12.31)",16억 5천만원(2023.12.31),허광길,2013.07.16(13년차)
동일테크,동일바이오테크,중소기업,서울 강남구,제약·보건·바이오,"5,000만원",153억3천만,목진성,1998.10.01(28년차)
동일테크,㈜동일콘벨트테크,중소기업,대전 대덕구,기계·기계설비,-,-,김환,2023.01.16(3년차)
동일테크,동일종합테크,중소기업,대구 서구,그 외 기타 기계 및 장비 도매업,"1억 2,134만원(2023.12.31)",11억 2천만원(2023.12.31),황연철,2016.03.07(10년차)
동일테크,동일테크,중소기업,경기 시흥시,기계·기계설비,10억원,18억,안상영,2005.01.09(21년차)
동일테크,동일테크,중소기업,경남 김해시,주형 및 금형 제조업,"5,980만원(2019.12.31)","1억 4,826만원(2019.12.31)",이종규,2005.05.04(21년차)
동일테크,동일테크,중소기업,경북 칠곡군,기타 플라스틱제품 제조업,-,-,양준영,-
의료법인성은의료재단,의료법인 우리의료재단,비영리법인,경기 김포시,종합 병원,318억 6천만원(2024.12.31),"1,608억 3천만원(2024.12.31)",고성백,2012.07.01(14년차)
의료법인성은의료재단,의료법인 성관의료재단,대기업,서울 강남구,의료(병원분류별),-,-,차경섭,1960(66년차)
의료법인성은의료재단,의료법인 이원의료재단,비영리법인,인천 연수구,방사선 진단 및 병리 검사 의원,"3억 2,000만원(2022.12.31)","5,042억 3천만원(2022.12.31)",이덕구,1991.06.01(35년차)
의료법인성은의료재단,의료법인 인성의료재단 한림병원,비영리법인,인천 계양구,종합 병원,57억 2천만원(2024.12.31),"1,197억 4천만원(2024.12.31)",이정희,2000.09.15(26년차)
